date,open,close,high,low,p_n_l
2023-11-15,35426.67297318,37691.12,37691.12,35216.12463544,6.39193527
2023-11-14,36658.92920426,35426.67017313,36932.99999995,35203.92204897,-3.47266511
2023-11-13,36925.69639836,36701.1792189,37299.46537153,36276.64249981,-0.99931306
2023-11-12,36932.3511867,37071.6409683,37299.85639391,36628.32397635,-0.20984322
2023-11-11,37216.42674414,37149.59688032,37379.25120352,36721.29247303,-0.17957088
2023-11-10,36886.27452029,37216.42674414,37379.99999995,36100.0,0.8400532800000001
2023-11-09,35534.159,36906.3933748,37778.42287198,34909.929278,3.86173309
2023-11-08,35407.38879977,35534.159,35733.0,34681.58922387,0.3223009599999999
2023-11-07,35122.55439803,35420.0,35424.23979999,34493.91520003,1.57437412
2023-11-06,34981.0131438,34871.00000004,35409.50931897,34579.3827709,-0.99537037
2023-11-05,35063.0,35221.58522184,35334.11923097,34595.54938501,-0.05697632
2023-11-04,34591.0,35241.66462629,35287.89222864,34000.41902807,1.88102289
2023-11-03,34732.0,34591.0,35313.00668416,33997.98759268,-0.40596568
2023-11-02,35010.19656,34732.0,35733.0,34353.91427468,-0.67119958
2023-11-01,34631.99999999,34966.69632022,35577.44779998,34175.32493573,1.4725860400000002
2023-10-31,34294.15844295,34459.2541538,34697.61047485,34099.22635785,0.48723898
2023-10-30,34354.04574001,34292.169338,34773.62979994,34074.9138513,-0.53654878
2023-10-29,33943.0,34477.15609836,34577.99979999,33822.74136983,0.8752884799999999
2023-10-28,33778.0,34178.0,34453.27459594,33695.438053,1.17821196
2023-10-27,34167.0,33780.0,34499.18922791,33502.73080926,-0.84941229
2023-10-26,34301.64940829,34069.3895836,34773.62979999,33728.238,-1.2627324
2023-10-25,33822.7405698,34505.09661997,34964.29741218,33281.29745085,2.01744755
2023-10-24,32896.46104125,33822.7405698,35047.87345,31426.17290842,6.694502419999999
2023-10-23,29849.00060001,31700.54670429,33488.38832625,29800.79165025,6.2030422000000005
2023-10-22,29769.981563,29849.00060001,30111.0,29658.45228,0.30567224
2023-10-21,29428.41678001,29758.03853751,29907.52111074,28593.0,1.21781815
2023-10-20,28449.0,29400.00000001,29741.99000807,28306.51371238,3.6796006
2023-10-19,28440.4131,28356.59071768,28878.2667175,27921.81361391,-0.30881051
2023-10-18,28358.71404976,28444.4301075,28824.03711625,27982.80464,0.29770842
2023-10-17,28378.61909225,28360.00000001,28933.81996,27921.36346876,-0.06560958
2023-10-16,27021.09519375,28378.61909225,29603.8135601,26939.66269883,5.17103676
2023-10-14,26929.80135458,26949.99999999,27279.92884,26729.08241603,-0.8705655099999999
2023-10-13,27123.9987,27186.67784,27285.29045999,26729.08121606,-1.00827566
2023-10-12,26758.0,27463.58649903,27551.16546506,26727.10990818,1.13742859
2023-10-11,27425.34018918,27154.72094,27568.7222725,26561.39615731,-1.44426557
2023-10-10,27630.98568805,27552.6544425,27630.98568813,27290.95613435,-0.28349059
2023-10-09,27863.0760829,27630.98568813,28188.56454,27148.31489713,-1.40471726
2023-10-08,27823.26860651,28024.65282374,28209.78734,27619.09798302,0.7309912
2023-10-07,27815.3065895,27821.28170216,28246.27202833,27763.55347901,-0.24265285
2023-10-06,27354.6782636,27888.95504677,28185.6338,27083.93454,1.27963804
2023-10-05,27849.99699983,27536.5864125,28464.22909981,27295.78498025,-0.52509534
2023-10-04,27818.81827993,27681.94300474,27838.57338527,27176.14682061,-0.49202405
2023-10-03,27472.9398585,27818.81827993,27818.81827993,27263.93691225,1.25897856
2023-10-02,27899.99959992,27472.9398585,28464.51414495,27434.15252125,-1.5306801
2023-10-01,26715.84857291,27899.99959992,27912.4,26671.80444352,3.1423275399999997
2023-09-30,26643.51315946,27050.0,27107.66325599,26643.51315946,0.73214138
2023-09-29,26754.19427418,26853.39518087,27115.37999994,26592.99630104,0.31847688
2023-09-28,26244.79873625,26768.14482813,27118.81763245,26200.43925868,1.99409451
2023-09-27,26137.31210674,26244.79873625,26810.01685427,26123.377977,0.5184112200000001
2023-09-26,26722.59671844,26109.44444725,26722.62751999,26029.92959671,-2.2945093
2023-09-25,26847.85538964,26722.59691847,26847.85538964,26024.4502,-0.54327126
2023-09-24,26707.07436375,26868.56611489,26999.99999999,26434.950019,0.60467781
2023-09-23,26455.81884254,26707.07436375,26940.32404,26419.96291025,0.94971819
2023-09-22,26674.93810375,26455.81864255,26815.53236625,26412.00109324,-0.8289103299999999
2023-09-21,26985.26751722,26676.9466075,27225.26833125,26298.57204972,-2.03631933
2023-09-20,27323.684815,27231.46621749,27791.46553837,26280.02,-0.1393104299999999
2023-09-19,26887.83970125,27269.45541374,27582.78199874,26664.83433202,1.54064767
2023-09-18,26423.94391875,26855.70364125,27790.63100277,26342.3332445,1.5338512
2023-09-17,26628.01835065,26450.0,26650.0,26404.02178871,-0.6685377299999999
2023-09-16,26464.37247117,26628.01835065,26799.46553625,26376.17181677,0.03012153
2023-09-15,26624.72571,26620.0,26825.6088,26057.30931645,0.4468656
2023-09-14,26301.35640623,26501.5735845,26815.3218902,26101.48223025,0.68435592
2023-09-13,25885.59613,26321.44124375,26488.21788757,25331.38779129,1.3387789799999998
2023-09-12,25229.82410775,25973.71066525,26353.696063,25081.68638327,2.94844131
2023-09-11,25770.05502675,25229.82410775,25849.39535683,25050.00000004,-2.0963514400000003
2023-09-10,25502.04979947,25770.05502675,25993.74502425,25500.59772,1.05106619
2023-09-09,25585.81102373,25502.01200004,25941.67559637,25493.75465062,-0.96989673
2023-09-08,26099.99999998,25751.77765005,26202.64557763,25100.00020008,-1.33418449
2023-09-07,25760.40355206,26099.99979998,26202.64637764,25211.87224676,2.3858963600000003
2023-09-06,25387.24356083,25491.79206,25941.54258925,25387.24356083,-1.60406502
2023-09-05,25829.9998,25907.36300846,25933.50057025,25209.24775812,0.29950913
2023-09-04,25446.80693599,25829.9998,26098.36195973,25206.88760766,-1.02827204
2023-09-03,25665.65960172,26098.36195974,26152.645588,25216.2590536,1.4541332299999998
2023-09-02,26077.89409814,25724.2964175,26087.32522,25430.93545178,0.11614324
2023-09-01,26060.16256949,25694.45404624,26323.80562,25400.07801536,-1.4033240299999998
2023-08-31,27380.11798831,26060.16256949,27415.242571,25791.57665063,-4.82085366
2023-08-30,27223.83386103,27380.11798831,27735.20596531,26918.8954709,-1.28027885
2023-08-29,25953.08946375,27735.20596531,27899.99979999,25818.79889323,6.1805379799999995
2023-08-28,25989.00360015,26120.8,26211.95507811,25798.90364564,-0.4240187599999999
2023-08-27,25878.48323562,26232.02872404,26282.32334437,25779.77096001,0.41737382
2023-08-26,25868.53571187,26122.99816857,26206.92941625,25735.59364639,1.50778085
2023-08-25,26018.00199126,25734.9712,26419.25579348,25400.07801536,-1.46005525
2023-08-24,26189.2787085,26116.28336587,27499.745,25865.62421908,-0.7232224300000001
2023-08-23,25998.10314575,26306.538151,26699.97899997,25719.53731003,1.3817564
2023-08-22,26027.95171401,25948.0,26241.91490025,25600.0,-1.17679397
2023-08-21,26047.8505595,26256.99068437,26326.07224687,25908.56124107,0.8029074199999999
2023-08-20,26487.26775478,26047.85055951,26487.26775478,25905.99080012,-1.73282724
2023-08-19,26000.0,26507.17409269,26990.70414851,25800.00020002,1.95066959
2023-08-18,26990.0,26000.0,27896.64958429,25541.13475176,-3.66802519
2023-08-17,28700.0,26990.0,29489.47279388,26255.39568344,-5.9818620199999994
2023-08-16,29062.55615276,28707.22668901,29500.28780128,28396.40287768,-1.22263665
2023-08-15,29266.52136911,29062.55615276,29603.8135601,28890.00440083,-0.76439748
2023-08-14,29157.07661887,29286.42081462,29529.78663317,29120.00000004,0.10199541
2023-08-13,29319.28825202,29256.58044669,29603.8143601,29157.07661887,-0.2135141499999999
2023-08-12,29316.9004,29319.18104781,29573.66279186,29316.9002,0.0077792899999999
2023-08-11,29316.26978285,29316.9004,29624.9996,29316.26898287,0.00215108
2023-08-10,29694.26946485,29316.26978285,29745.6809686,29271.4961305,-1.27297182
2023-08-09,29629.67874951,29694.26946486,29907.52151074,29283.01053646,-0.2237233899999999
2023-08-08,29067.55978165,29760.85145152,29760.86465216,28979.02867922,1.70130011
2023-08-07,29043.62478567,29262.99999998,29490.21754,28886.33154365,0.75533001
2023-08-06,28942.91783389,29043.62478567,29399.3731815,28893.414266,-0.94261669
2023-08-05,28886.41035923,29320.0,29320.0,28886.41035923,1.04632381
2023-08-04,29322.4,29016.3945539,29517.73471656,28886.33154365,-1.04358936
2023-08-03,28878.73807244,29322.4,29504.78739039,28878.73807244,0.39339211
2023-08-02,29350.67442768,29207.49999998,29931.92719737,28974.20107075,-0.48780626
2023-08-01,29355.05041461,29350.67442768,29397.77884375,28862.0,0.7840488200000001
2023-07-31,29335.41713488,29122.34105613,29440.99979999,29122.34105608,0.0147684
2023-07-30,29235.73876177,29118.04078657,29427.9994,29112.33956793,-0.37268819
